City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
545,nisia floresta,-6.0911,-35.2086,304.6,57,16,6.54,BR,1676655422
546,el sauce,12.8869,-86.539,307.47,22,6,4.85,NI,1676655423
547,alyangula,-13.8483,136.4192,300.64,84,100,6.54,AU,1676655424
548,bennettsville,34.6174,-79.6848,295.42,81,100,5.66,US,1676655425
549,broome,42.2506,-75.833,275.94,84,100,6.69,US,1676655425
550,opoczno,51.3757,20.2783,278.66,93,100,9.14,PL,1676655426
551,simao,22.7886,100.9748,284.89,89,100,0.83,CN,1676655426
552,nipawin,53.3668,-104.0009,266.17,68,75,6.69,CA,1676655427
553,guadalupe y calvo,26.1,-106.9667,289.22,16,51,1.52,MX,1676655428
554,kandrian,-6.2167,149.55,297.75,87,88,2.22,PG,1676655428
555,port macquarie,-31.4333,152.9167,289.2,91,5,2.84,AU,1676655429
556,lubango,-14.9172,13.4925,291.61,56,29,3.3,AO,1676655430
557,severnyy,50.677,36.5532,263.17,79,0,3.0,RU,1676655430
558,pascagoula,30.3658,-88.5561,282.61,70,40,5.14,US,1676655431
559,ukiah,39.1502,-123.2078,285.06,45,99,1.11,US,1676655432
560,burnie,-41.0667,145.9167,287.56,83,83,4.32,AU,1676655432
561,hurghada,27.2574,33.8129,293.17,30,0,3.6,EG,1676655433
562,morondava,-20.2833,44.2833,299.85,78,95,3.41,MG,1676655433
563,gizo,-8.103,156.8419,300.88,79,100,3.92,SB,1676655434
564,quatre cocos,-20.2078,57.7625,298.21,75,86,4.69,MU,1676655434
565,katobu,-4.9408,122.5276,297.7,91,88,0.39,ID,1676655435
566,key largo,25.0865,-80.4473,301.48,79,11,4.74,US,1676655436
567,maceio,-9.6658,-35.7353,304.84,55,20,6.17,BR,1676655312
568,bonthe,7.5264,-12.505,301.43,69,9,5.24,SL,1676655437
569,flinders,-34.5833,150.8552,296.14,81,11,1.79,AU,1676655438
570,lufilufi,-13.8745,-171.5986,297.03,79,27,3.5,WS,1676655438
571,san luis,-33.295,-66.3356,287.7,15,17,8.11,AR,1676655439
572,havelock,34.8791,-76.9013,297.56,79,75,11.83,US,1676655146
573,kichmengskiy gorodok,59.9816,45.7854,269.04,87,100,2.1,RU,1676655439
574,port-gentil,-0.7193,8.7815,303.13,74,40,3.6,GA,1676655440
575,beldanga,23.9333,88.25,293.31,41,0,2.53,IN,1676655440
576,bulungu,-4.55,18.6,299.33,66,80,1.36,CD,1676655441
